Date;Longitude;Latitude;Depth;Rms;Type;Magnitude;Location;EventID
2023-02-08T21:54:48;29.322;37.692;7;0.36;ML;1;Honaz (Denizli);544617
2023-02-08T21:47:32;36.279;37.875;14.85;0.63;ML;2.4;Göksun (Kahramanmaraş);544616
2023-02-08T21:45:28;36.574;36.937;7;0.71;ML;2.9;İslahiye (Gaziantep);544615
2023-02-08T21:42:36;38.695;38.202;7.06;0.3;ML;2.8;Pütürge (Malatya);544614
2023-02-08T21:35:53;37.267;37.586;7.08;0.37;ML;3.5;Pazarcık (Kahramanmaraş);544613
2023-02-08T21:26:57;37.951;37.904;7;0.07;ML;2.5;Doğanşehir (Malatya);544609
2023-02-08T21:20:47;40.742;39.744;7;0.2;ML;3;Aşkale (Erzurum);544612
2023-02-08T21:20:40;39.658;38.591;7;0.33;ML;2.4;Merkez (Elazığ);544611
2023-02-08T21:19:09;37.987;38.059;7;0.34;ML;3;Doğanşehir (Malatya);544610
2023-02-08T21:16:15;37.802;37.783;12.28;0.21;ML;2.6;Gölbaşı (Adıyaman);544608
2023-02-08T21:15:08;37.926;38.184;6.99;0.42;ML;3.3;Doğanşehir (Malatya);544607
2023-02-08T21:11:29;36.603;37.052;7;0.38;ML;3.3;İslahiye (Gaziantep);544605
2023-02-08T21:10:39;37.968;38.202;7.06;0.37;ML;3.3;Doğanşehir (Malatya);544606
2023-02-08T21:02:19;36.206;37.823;7;0.52;ML;2.5;Saimbeyli (Adana);544604
2023-02-08T21:00:27;37.224;38.218;7.02;0.64;ML;3.1;Elbistan (Kahramanmaraş);544603
2023-02-08T20:55:34;37.654;38.022;13.09;0.25;ML;3.6;Doğanşehir (Malatya);544602
2023-02-08T20:41:00;36.42;37.962;7;0.8;ML;3;Göksun (Kahramanmaraş);544601
2023-02-08T20:40:19;36.354;37.928;7;0.79;ML;3.1;Göksun (Kahramanmaraş);544600
2023-02-08T20:32:52;36.802;38.003;7;0.83;ML;2.9;Göksun (Kahramanmaraş);544599
2023-02-08T20:20:50;36.769;37.21;8.9;0.36;ML;3.4;Nurdağı (Gaziantep);544598
2023-02-08T20:19:09;36.604;38.032;6.15;0.81;ML;3.2;Göksun (Kahramanmaraş);544597
2023-02-08T20:12:04;38.164;38.291;7;0.69;MW;4;Yeşilyurt (Malatya);544596
2023-02-08T20:09:12;36.561;38.011;6.9;0.49;ML;3.2;Göksun (Kahramanmaraş);544593
2023-02-08T20:07:03;35.294;38.744;7;0.37;MW;3.7;İncesu (Kayseri);544594
2023-02-08T20:04:53;37.176;37.517;10.63;0.38;MW;3.4;Dulkadiroğlu (Kahramanmaraş);544592
2023-02-08T20:03:17;36.841;37.391;8.38;0.56;ML;3.2;Türkoğlu (Kahramanmaraş);544591
2023-02-08T19:55:44;40.422;38.544;6.03;0.35;ML;1.8;Hani (Diyarbakır);544595
2023-02-08T19:53:54;36.727;37.844;7;0.97;ML;2.6;Onikişubat (Kahramanmaraş);544590
2023-02-08T19:48:11;36.092;36.318;10.11;0.61;MW;4.1;Antakya (Hatay);544583
2023-02-08T19:46:55;37.218;38.055;5.89;0.23;ML;2.8;Ekinözü (Kahramanmaraş);544584
2023-02-08T19:43:24;37.091;38.072;7;0.87;ML;3;Ekinözü (Kahramanmaraş);544587
2023-02-08T19:41:30;37.306;38.12;7;0.64;ML;3.1;Elbistan (Kahramanmaraş);544586
2023-02-08T19:40:14;36.676;37.85;7.71;0.95;ML;3;Onikişubat (Kahramanmaraş);544585
2023-02-08T19:34:39;38.441;38.07;6.99;0.5;ML;2.6;Çelikhan (Adıyaman);544589
2023-02-08T19:33:46;37.729;38.112;7.01;0.82;ML;2.8;Doğanşehir (Malatya);544588
2023-02-08T19:23:53;38.443;38.069;7;0.46;ML;2.8;Çelikhan (Adıyaman);544581
2023-02-08T19:23:21;38.6;38.19;7.03;0.28;ML;3;Battalgazi (Malatya);544580
