Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
"2023-02-06T04:28:48",38.888,39.988,13.56,0.25,"ML",3.8,"Refahiye (Erzincan)",543481
"2023-02-06T04:31:05",37.646,37.829,20.85,0.63,"MW",4,"Gölbaşı (Adıyaman)",543487
"2023-02-06T04:31:46",40.911,39.194,7.14,0.56,"ML",2.6,"Karlıova (Bingöl)",543490
"2023-02-06T04:34:52",38.621,38.285,9.73,0.24,"ML",2.7,"Battalgazi (Malatya)",543485
"2023-02-06T04:37:45",38.455,38.098,7.03,0.28,"ML",3.6,"Çelikhan (Adıyaman)",543482
"2023-02-06T04:39:44",37.758,37.847,10.91,0.43,"MW",4.7,"Gölbaşı (Adıyaman)",543480
"2023-02-06T04:41:38",38.511,38.109,7.01,0.33,"ML",3.3,"Sincik (Adıyaman)",543484
"2023-02-06T04:42:16",38.608,38.114,7.01,0.22,"ML",3.7,"Pütürge (Malatya)",543483
"2023-02-06T04:45:01",36.992,37.356,7,0.68,"ML",4.1,"Türkoğlu (Kahramanmaraş)",543496
"2023-02-06T04:54:42",37.238,37.443,7,0.44,"ML",3.6,"Pazarcık (Kahramanmaraş)",543491
"2023-02-06T04:56:05",37.226,37.441,8.24,0.49,"MW",4.4,"Pazarcık (Kahramanmaraş)",543494
"2023-02-06T04:58:07",37.374,37.59,6.43,0.29,"ML",3.9,"Pazarcık (Kahramanmaraş)",543497
"2023-02-06T05:01:48",37.891,37.887,11.67,0.38,"ML",4.7,"Tut (Adıyaman)",543495
"2023-02-06T05:08:37",36.881,37.355,7,0.28,"MW",4.2,"Türkoğlu (Kahramanmaraş)",543498
"2023-02-06T05:12:51",37.309,37.527,15.1,0.6,"MW",4.1,"Pazarcık (Kahramanmaraş)",543501
"2023-02-06T05:16:54",37.782,37.854,12.92,0.35,"ML",4.4,"Gölbaşı (Adıyaman)",543499
"2023-02-06T05:17:56",38.464,38.104,7,0.16,"ML",4,"Sincik (Adıyaman)",543500
"2023-02-06T05:19:47",38.347,38.072,7.02,0.37,"ML",4.2,"Çelikhan (Adıyaman)",543503
"2023-02-06T05:22:50",38.473,38.111,10.02,0.33,"ML",4.4,"Sincik (Adıyaman)",543505
"2023-02-06T05:30:11",38.407,37.977,7,0.9,"ML",3.3,"Çelikhan (Adıyaman)",543508
"2023-02-06T05:31:22",38.327,38.113,8.31,0.22,"MW",4.1,"Çelikhan (Adıyaman)",543502
"2023-02-06T05:33:08",38.335,38.099,12.21,0.46,"MW",4.3,"Çelikhan (Adıyaman)",543504
"2023-02-06T05:36:32",36.143,36.339,13.07,0.31,"MW",4.5,"Antakya (Hatay)",543506
"2023-02-06T05:40:36",38.172,37.985,7.05,0.23,"MW",4.2,"Merkez (Adıyaman)",543510
"2023-02-06T05:43:00",38.458,38.11,7.01,0.24,"MW",3.9,"Sincik (Adıyaman)",543511
"2023-02-06T05:44:54",36.231,36.403,8.7,0.23,"ML",4.5,"Antakya (Hatay)",543514
"2023-02-06T05:48:00",36.623,37.12,7,0.38,"ML",4,"İslahiye (Gaziantep)",543515
"2023-02-06T05:52:05",37.249,37.556,6.92,0.7,"ML",3.7,"Pazarcık (Kahramanmaraş)",543513
"2023-02-06T05:55:49",38.473,38.081,10.75,0.33,"MW",4.4,"Sincik (Adıyaman)",543512
"2023-02-06T06:00:04",37.122,37.408,7,0.49,"ML",4,"Dulkadiroğlu (Kahramanmaraş)",543526
"2023-02-06T06:04:08",36.638,37.074,4.24,0.39,"ML",3.3,"İslahiye (Gaziantep)",543516
"2023-02-06T06:06:58",37.683,37.951,7.5,0.74,"ML",3.7,"Doğanşehir (Malatya)",543519
"2023-02-06T06:08:56",37.103,37.587,7,0.31,"ML",3.4,"Dulkadiroğlu (Kahramanmaraş)",543522
"2023-02-06T06:09:03",37.064,37.073,6.96,0.85,"ML",3.7,"Şahinbey (Gaziantep)",543521
"2023-02-06T06:13:04",37.169,37.562,7,0.08,"ML",3.4,"Dulkadiroğlu (Kahramanmaraş)",543529
"2023-02-06T06:14:38",37.1,37.351,5.7,0.87,"ML",3.9,"Pazarcık (Kahramanmaraş)",543528
"2023-02-06T06:16:20",36.873,37.092,5.87,0.75,"ML",3.5,"Nurdağı (Gaziantep)",543518
"2023-02-06T06:17:59",38.419,38.106,10.53,0.48,"ML",3.8,"Çelikhan (Adıyaman)",543520
"2023-02-06T06:20:11",38.516,38.127,7.12,0.3,"ML",3.3,"Sincik (Adıyaman)",543523
"2023-02-06T06:26:29",37.051,37.279,8.62,0.46,"ML",4.7,"Pazarcık (Kahramanmaraş)",543517
"2023-02-06T06:30:54",35.3,36.478,7,0.53,"ML",3.8,"Akdeniz - [10.70 km] Karataş (Adana)",543530
"2023-02-06T06:31:39",37.992,37.922,7,0.34,"ML",3.7,"Doğanşehir (Malatya)",543532
"2023-02-06T06:33:20",37.025,37.292,7,0.11,"ML",3.6,"Pazarcık (Kahramanmaraş)",543536
"2023-02-06T06:34:08",38.474,38.133,7,0.16,"ML",3.7,"Sincik (Adıyaman)",543538
"2023-02-06T06:38:09",36.519,36.815,6.92,0.47,"MW",4.2,"Hassa (Hatay)",543524
"2023-02-06T06:39:52",38.328,38.073,7.02,0.2,"ML",3.1,"Çelikhan (Adıyaman)",543525
"2023-02-06T06:43:27",38.241,38.002,7,0.42,"MW",4.3,"Çelikhan (Adıyaman)",543527
"2023-02-06T06:51:01",36.838,37.218,6.71,0.99,"ML",3.6,"Nurdağı (Gaziantep)",543537
"2023-02-06T06:51:44",37.235,37.455,7,0.24,"ML",3.4,"Pazarcık (Kahramanmaraş)",543535
"2023-02-06T06:53:58",37.434,37.581,7,0.53,"ML",3.4,"Pazarcık (Kahramanmaraş)",543534
"2023-02-06T06:54:57",37.457,37.733,7,0.49,"MW",5,"Çağlayancerit (Kahramanmaraş)",543531
"2023-02-06T06:59:05",37.169,37.522,7.32,0.22,"ML",4.2,"Dulkadiroğlu (Kahramanmaraş)",543533
"2023-02-06T07:04:07",37.176,37.506,6.92,0.91,"ML",4,"Dulkadiroğlu (Kahramanmaraş)",543539
"2023-02-06T07:08:31",36.425,36.639,7,0.45,"MW",4.4,"Kırıkhan (Hatay)",543540
"2023-02-06T07:12:11",37.069,37.301,7.26,0.29,"ML",3.8,"Pazarcık (Kahramanmaraş)",543541
"2023-02-06T07:16:08",34.061,40.254,7,0.4,"ML",1.4,"Sungurlu (Çorum)",543543
"2023-02-06T07:19:28",38.002,37.919,6.98,0.56,"ML",3.8,"Doğanşehir (Malatya)",543550
"2023-02-06T07:21:05",37.155,37.536,7,0.93,"ML",4,"Dulkadiroğlu (Kahramanmaraş)",543547
"2023-02-06T07:25:51",37.205,37.417,6.67,0.31,"ML",4.2,"Pazarcık (Kahramanmaraş)",543544
